COMMON_NAME,SCIENTIFIC_NAME,order,family,TipLabel,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc
Swallow-tailed Gull,Creagrus furcatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Creagrus_furcatus,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Black-vented Oriole,Icterus wagleri,Passeriformes,Icteridae (Troupials and Allies),Icterus_wagleri,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Collared Plover,Charadrius collaris,Charadriiformes,Charadriidae (Plovers and Lapwings),Charadrius_collaris,BL3,Charadrii,Charadriidae,Plovers,54,CHARADRIIFORMES,NONPASSERIFORMES
Green-breasted Mango,Anthracothorax prevostii,Caprimulgiformes,Trochilidae (Hummingbirds),Anthracothorax_prevostii,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Red-legged Honeycreeper,Cyanerpes cyaneus,Passeriformes,Thraupidae (Tanagers and Allies),Cyanerpes_cyaneus,BL3,P13P14P16,Thraupidae,Tanagers,193,PASSERIFORMES,Passeri
White-throated Thrush,Turdus assimilis,Passeriformes,Turdidae (Thrushes and Allies),Turdus_assimilis,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri
Green Sandpiper,Tringa ochropus,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa_ochropus,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Bananaquit,Coereba flaveola,Passeriformes,Thraupidae (Tanagers and Allies),Coereba_flaveola,BL3,P17P18,Coerebidae,Bananaquit,191,PASSERIFORMES,Passeri
Black-faced Grassquit,Tiaris bicolor,Passeriformes,Thraupidae (Tanagers and Allies),Tiaris_bicolor,BL3,P17P18,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Common Pochard,Aythya ferina,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_ferina,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Cuban Bullfinch,Melopyrrha nigra,Passeriformes,Thraupidae (Tanagers and Allies),Melopyrrha_nigra,BL3,P17P18,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Cuban Grassquit,Tiaris canorus,Passeriformes,Thraupidae (Tanagers and Allies),Tiaris_canorus,BL3,P17P18,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Fischer's Lovebird,Agapornis fischeri,Psittaciformes,Psittaculidae (Old World Parrots),Agapornis_fischeri,BL3,Psittacidae1,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Lavender Waxbill,Estrilda caerulescens,Passeriformes,Estrildidae (Waxbills and Allies),Estrilda_caerulescens,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri
Loggerhead Kingbird,Tyrannus caudifasciatus,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus_caudifasciatus,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Red-billed Firefinch,Lagonosticta senegala,Passeriformes,Estrildidae (Waxbills and Allies),Lagonosticta_senegala,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri
Red-breasted Parakeet,Psittacula alexandri,Psittaciformes,Psittaculidae (Old World Parrots),Psittacula_alexandri,BL3,Psittacidae1,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Red-cheeked Cordonbleu,Uraeginthus bengalus,Passeriformes,Estrildidae (Waxbills and Allies),Uraeginthus_bengalus,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri
Red-whiskered Bulbul,Pycnonotus jocosus,Passeriformes,Pycnonotidae (Bulbuls),Pycnonotus_jocosus,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri
Rosy-billed Pochard,Netta peposaca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Netta_peposaca,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Scaly-headed Parrot,Pionus maximiliani,Psittaciformes,Psittacidae (New World and African Parrots),Pionus_maximiliani,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Spot-breasted Oriole,Icterus pectoralis,Passeriformes,Icteridae (Troupials and Allies),Icterus_pectoralis,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Tropical Mockingbird,Mimus gilvus,Passeriformes,Mimidae (Mockingbirds and Thrashers),Mimus_gilvus,BL3,M4,Mimidae,Mockingbirds and thrashers,175,PASSERIFORMES,Passeri
Variegated Flycatcher,Empidonomus varius,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonomus_varius,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Village Weaver,Ploceus cucullatus,Passeriformes,Ploceidae (Weavers and Allies),Ploceus_cucullatus,BL3,P6,Ploceidae,Weavers and allies,184,PASSERIFORMES,Passeri
White-tailed Tropicbird,Phaethon lepturus,Phaethontiformes,Phaethontidae (Tropicbirds),Phaethon_lepturus,BL3,Phaethontidae,Phaethontidae,Tropicbirds,26,PHAETHONTIFORMES,NONPASSERIFORMES
Yellow-collared Lovebird,Agapornis personatus,Psittaciformes,Psittaculidae (Old World Parrots),Agapornis_personatus,BL3,Psittacidae1,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Yellow-fronted Parrot,Poicephalus flavifrons,Psittaciformes,Psittacidae (New World and African Parrots),Poicephalus_flavifrons,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Zenaida Dove,Zenaida aurita,Columbiformes,Columbidae (Pigeons and Doves),Zenaida_aurita,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
Fieldfare,Turdus pilaris,Passeriformes,Turdidae (Thrushes and Allies),Turdus_pilaris,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri
Ferruginous Duck,Aythya nyroca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_nyroca,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Red-legged Kittiwake,Rissa brevirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Rissa_brevirostris,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Yellow Grosbeak,Pheucticus chrysopeplus,Passeriformes,Cardinalidae (Cardinals and Allies),Pheucticus_chrysopeplus,BL3,P12,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,Passeri
Little Bunting,Emberiza pusilla,Passeriformes,Emberizidae (Old World Buntings),Emberiza_pusilla,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Village Indigobird,Vidua chalybeata,Passeriformes,Viduidae (Indigobirds),Vidua_chalybeata,BL3,P7,Viduidae,Indigobirds and allies,185,PASSERIFORMES,Passeri
Bar-headed Goose,Anser indicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser_indicus,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Smew,Mergellus albellus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mergellus_albellus,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Black-backed Oriole,Icterus abeillei,Passeriformes,Icteridae (Troupials and Allies),Icterus_abeillei,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Yellow-faced Grassquit,Tiaris olivaceus,Passeriformes,Thraupidae (Tanagers and Allies),Tiaris_olivaceus,BL3,P17P18,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Chilean Flamingo,Phoenicopterus chilensis,Phoenicopteriformes,Phoenicopteridae (Flamingos),Phoenicopterus_chilensis,BL3,Phoenicopteridae,Phoenicopteridae,Flamingos,22,PHOENICOPTERIFORMES,NONPASSERIFORMES
Elegant Trogon,Trogon elegans,Trogoniformes,Trogonidae (Trogons),Trogon_elegans,BL3,Trogonidae,Trogonidae,Trogons,81,TROGONIFORMES,NONPASSERIFORMES
Magpie Goose,Anseranas semipalmata,Anseriformes,Anseranatidae (Magpie Goose),Anseranas_semipalmata,BL3,Skeleton,Anseranatidae,Magpie Goose,13,ANSERIFORMES,NONPASSERIFORMES
Burrowing Parakeet,Cyanoliseus patagonus,Psittaciformes,Psittacidae (New World and African Parrots),Cyanoliseus_patagonus,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Dusky Warbler,Phylloscopus fuscatus,Passeriformes,Phylloscopidae (Leaf Warblers),Phylloscopus_fuscatus,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri
Gouldian Finch,Erythrura gouldiae,Passeriformes,Estrildidae (Waxbills and Allies),Erythrura_gouldiae,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri
Green-winged Pytilia,Pytilia melba,Passeriformes,Estrildidae (Waxbills and Allies),Pytilia_melba,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri
Japanese White-eye,Zosterops japonicus,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",Zosterops_japonicus,BL3,S13,Zosteropidae,White-eyes,164,PASSERIFORMES,Passeri
Venezuelan Troupial,Icterus icterus,Passeriformes,Icteridae (Troupials and Allies),Icterus_icterus,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Blue-black Grassquit,Volatinia jacarina,Passeriformes,Thraupidae (Tanagers and Allies),Volatinia_jacarina,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Yellow-billed Cardinal,Paroaria capitata,Passeriformes,Thraupidae (Tanagers and Allies),Paroaria_capitata,BL3,P17P18,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
