COMMON_NAME,SCIENTIFIC_NAME,order,family,TipLabel,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc
Little Gull,Hydrocoloeus minutus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_minutus,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Nelson's Sparrow,Ammospiza nelsoni,Passeriformes,Passerellidae (New World Sparrows),Ammodramus_nelsoni,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Prairie Warbler,Setophaga discolor,Passeriformes,Parulidae (New World Warblers),Dendroica_discolor,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
White-winged Scoter,Melanitta deglandi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Melanitta_fusca,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Cassin's Finch,Haemorhous cassinii,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Carpodacus_cassinii,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Mountain Chickadee,Poecile gambeli,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Parus_gambeli,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri
Bachman's Sparrow,Peucaea aestivalis,Passeriformes,Passerellidae (New World Sparrows),Aimophila_aestivalis,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Chuck-will's-widow,Antrostomus carolinensis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Caprimulgus_carolinensis,BL3,Caprimulgidae,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES
Calliope Hummingbird,Selasphorus calliope,Caprimulgiformes,Trochilidae (Hummingbirds),Stellula_calliope,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Hermit Warbler,Setophaga occidentalis,Passeriformes,Parulidae (New World Warblers),Dendroica_occidentalis,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Ruff,Calidris pugnax,Charadriiformes,Scolopacidae (Sandpipers and Allies),Philomachus_pugnax,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Flammulated Owl,Psiloscops flammeolus,Strigiformes,Strigidae (Owls),Otus_flammeolus,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES
Grace's Warbler,Setophaga graciae,Passeriformes,Parulidae (New World Warblers),Dendroica_graciae,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Lucy's Warbler,Oreothlypis luciae,Passeriformes,Parulidae (New World Warblers),Vermivora_luciae,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
McCown's Longspur,Rhynchophanes mccownii,Passeriformes,Calcariidae (Longspurs and Snow Buntings),Calcarius_mccownii,BL3,P11,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Virginia's Warbler,Oreothlypis virginiae,Passeriformes,Parulidae (New World Warblers),Vermivora_virginiae,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Red-cockaded Woodpecker,Dryobates borealis,Piciformes,Picidae (Woodpeckers),Picoides_borealis,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
White-tailed Hawk,Geranoaetus albicaudatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo_albicaudatus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Surfbird,Calidris virgata,Charadriiformes,Scolopacidae (Sandpipers and Allies),Aphriza_virgata,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Wandering Tattler,Tringa incana,Charadriiformes,Scolopacidae (Sandpipers and Allies),Heteroscelus_incanus,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
