city,state_name,lat,lng,population,distance.to.coast_km,total_richness,total_lists,Area_km2,Included_in_analysis
Kingman_AZ,Arizona,35.2168,-114.0167,43548,484.08544598819,143,508,61548.21,Yes
Lancaster_SC,South Carolina,34.7247,-80.7801,25691,164.34775452440132,48,11,61730.007,No
Findlay_OH,Ohio,41.046,-83.638,48701,473.21336667274085,281,3252,61859.275,Yes
Albany_OR,Oregon,44.6274,-123.0966,60463,52.43869092069914,219,2521,61927.939,Yes
Enid_OK,Oklahoma,36.4061,-97.8701,49176,742.1560994082008,82,120,62146.213,Yes
Adrian_MI,Michigan,41.8994,-84.0447,43850,519.0220546247889,207,1083,62207.099,Yes
Stevens Point_WI,Wisconsin,44.524,-89.5506,43735,906.6971108140991,240,2378,62386.08,Yes
Fernandina Beach_FL,Florida,30.6589,-81.4499,27371,1.3801768706287776,232,1704,62444.171,Yes
Russellville_AR,Arkansas,35.2761,-93.1385,34684,560.8462739790604,217,520,62535.091,Yes
Nacogdoches_TX,Texas,31.6131,-94.6527,35525,190.32716608770096,204,705,62972.189,Yes
Livermore_CA,California,37.6863,-121.7607,89840,34.119023287168694,203,1397,63117.621,Yes
Sequim_WA,Washington,48.0747,-123.0948,20330,2.636122579909753,259,8138,63299.347,Yes
Kill Devil Hills_NC,North Carolina,36.0167,-75.6699,20345,0.547769421708786,300,6491,63353.591,Yes
Bartlesville_OK,Oklahoma,36.7356,-95.9451,39848,743.6181149763054,218,479,63449.863,Yes
Ithaca_NY,New York,42.4442,-76.5032,54992,189.16379633829206,291,81276,63617.932,Yes
Oroville_CA,California,39.5,-121.5647,45445,167.66713553957763,203,2787,63672.882,Yes
Wilson_NC,North Carolina,35.7311,-77.9284,49644,70.4362916710084,178,930,64128.742,Yes
Columbia_TN,Tennessee,35.6223,-87.048,37845,521.5461967589889,115,92,64296.283,Yes
Gillette_WY,Wyoming,44.2793,-105.5013,36446,992.9081159032759,189,265,64299.188,Yes
Manitowoc_WI,Wisconsin,44.099,-87.6812,45261,790.2319397013666,285,8343,64337.523,Yes
Nogales_AZ,Arizona,31.3624,-110.9336,30771,207.55022077820686,263,3567,64566.976,Yes
Sevierville_TN,Tennessee,35.8868,-83.5674,24882,378.6726682078333,168,537,64767.373,Yes
Lake City_FL,Florida,30.1892,-82.647,26128,111.83063108603874,197,738,64861.494,Yes
Torrington_CT,Connecticut,41.8349,-73.1282,40710,60.14541292799721,203,4139,65165.119,Yes
Chesapeake Beach_MD,Maryland,38.6881,-76.5447,24355,1.2111611633154238,291,5532,65850.218,Yes
